tahun,bulan,kode_valuta,nama_valuta,nilai_impor
2005,"September","Lainnya","Asuransi dan ongkos pengangkutan",532839
2005,"Oktober","AED","Dirham Uni Emirat Arab",0
2005,"Oktober","ATS","Schilling Austria",0
2005,"Oktober","AUD","Dolar Australia",68665
2005,"Oktober","BEF","Franc Belgia",0
2005,"Oktober","BND","Dolar Brunei",18
2005,"Oktober","CAD","Dolar Kanada",347
2005,"Oktober","CHF","Franc Swiss",7740
2005,"Oktober","CNY","Yuan Renminbi China",0
2005,"Oktober","DEM","Mark Jerman",0
2005,"Oktober","DKK","Krone Denmark",985
2005,"Oktober","EUR","Euro",142511
2005,"Oktober","FRF","Franc Perancis",0
2005,"Oktober","GBP","Poundsterling Inggris",9330
2005,"Oktober","HKD","Dolar Hong Kong",11594
2005,"Oktober","IDR","Rupiah Indonesia",46638
2005,"Oktober","ITL","Lira Italia",0
2005,"Oktober","JPY","Yen Jepang",253224
2005,"Oktober","KRW","Won Korea",0
2005,"Oktober","MYR","Ringgit Malaysia",7207
2005,"Oktober","NLG","Gulden Belanda",0
2005,"Oktober","NOK","Krone Norwegia",186
2005,"Oktober","NZD","Dolar Selandia Baru",194
2005,"Oktober","PHP","Peso Filipina",304
2005,"Oktober","QAR","Riyal Qatar",0
2005,"Oktober","SAR","Riyal Saudi Arabia",0
2005,"Oktober","SEK","Krone Swedia",1436
2005,"Oktober","SGD","Dolar Singapura",135419
2005,"Oktober","THB","Baht Thailand",8047
2005,"Oktober","TWD","Dolar Taiwan",9
2005,"Oktober","USD","Dolar Amerika Serikat",5731721
2005,"Oktober","Lainnya","Valuta lainnya",7973
2005,"Oktober","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",34000
2005,"Oktober","Lainnya","Asuransi dan ongkos pengangkutan",535929
2005,"November","AED","Dirham Uni Emirat Arab",0
2005,"November","ATS","Schilling Austria",0
2005,"November","AUD","Dolar Australia",77885
2005,"November","BEF","Franc Belgia",0
2005,"November","BND","Dolar Brunei",1
2005,"November","CAD","Dolar Kanada",465
2005,"November","CHF","Franc Swiss",20116
2005,"November","CNY","Yuan Renminbi China",0
2005,"November","DEM","Mark Jerman",0
2005,"November","DKK","Krone Denmark",317
2005,"November","EUR","Euro",143143
2005,"November","FRF","Franc Perancis",0
2005,"November","GBP","Poundsterling Inggris",8805
2005,"November","HKD","Dolar Hong Kong",11248
2005,"November","IDR","Rupiah Indonesia",31785
2005,"November","ITL","Lira Italia",0
2005,"November","JPY","Yen Jepang",234457
2005,"November","KRW","Won Korea",0
2005,"November","MYR","Ringgit Malaysia",4591
2005,"November","NLG","Gulden Belanda",0
2005,"November","NOK","Krone Norwegia",198
2005,"November","NZD","Dolar Selandia Baru",75
2005,"November","PHP","Peso Filipina",363
2005,"November","QAR","Riyal Qatar",0
2005,"November","SAR","Riyal Saudi Arabia",0
2005,"November","SEK","Krone Swedia",1272
2005,"November","SGD","Dolar Singapura",100607
2005,"November","THB","Baht Thailand",9878
2005,"November","TWD","Dolar Taiwan",14
2005,"November","USD","Dolar Amerika Serikat",4366835
2005,"November","Lainnya","Valuta lainnya",5427
2005,"November","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",48000
2005,"November","Lainnya","Asuransi dan ongkos pengangkutan",417132
2005,"Desember","AED","Dirham Uni Emirat Arab",0
2005,"Desember","ATS","Schilling Austria",0
2005,"Desember","AUD","Dolar Australia",55619
2005,"Desember","BEF","Franc Belgia",0
2005,"Desember","BND","Dolar Brunei",0
2005,"Desember","CAD","Dolar Kanada",347
2005,"Desember","CHF","Franc Swiss",12047
2005,"Desember","CNY","Yuan Renminbi China",0
2005,"Desember","DEM","Mark Jerman",0
2005,"Desember","DKK","Krone Denmark",749
2005,"Desember","EUR","Euro",158718
2005,"Desember","FRF","Franc Perancis",0
2005,"Desember","GBP","Poundsterling Inggris",16317
2005,"Desember","HKD","Dolar Hong Kong",12035
2005,"Desember","IDR","Rupiah Indonesia",40038
2005,"Desember","ITL","Lira Italia",0
2005,"Desember","JPY","Yen Jepang",232158
2005,"Desember","KRW","Won Korea",473
2005,"Desember","MYR","Ringgit Malaysia",5960
2005,"Desember","NLG","Gulden Belanda",0
2005,"Desember","NOK","Krone Norwegia",510
2005,"Desember","NZD","Dolar Selandia Baru",957
2005,"Desember","PHP","Peso Filipina",1
2005,"Desember","QAR","Riyal Qatar",0
2005,"Desember","SAR","Riyal Saudi Arabia",0
2005,"Desember","SEK","Krone Swedia",3571
2005,"Desember","SGD","Dolar Singapura",143798
2005,"Desember","THB","Baht Thailand",8486
2005,"Desember","TWD","Dolar Taiwan",5
2005,"Desember","USD","Dolar Amerika Serikat",5554263
2005,"Desember","Lainnya","Valuta lainnya",6593
2005,"Desember","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",52000
2005,"Desember","Lainnya","Asuransi dan ongkos pengangkutan",522146
2006,"Januari","AED","Dirham Uni Emirat Arab",0
2006,"Januari","ATS","Schilling Austria",0
2006,"Januari","AUD","Dolar Australia",38560
2006,"Januari","BEF","Franc Belgia",0
2006,"Januari","BND","Dolar Brunei",0
2006,"Januari","CAD","Dolar Kanada",2101
2006,"Januari","CHF","Franc Swiss",10822
2006,"Januari","CNY","Yuan Renminbi China",0
2006,"Januari","DEM","Mark Jerman",0
2006,"Januari","DKK","Krone Denmark",260
2006,"Januari","EUR","Euro",149044
2006,"Januari","FRF","Franc Perancis",0
2006,"Januari","GBP","Poundsterling Inggris",13619
2006,"Januari","HKD","Dolar Hong Kong",11767
2006,"Januari","IDR","Rupiah Indonesia",29796
2006,"Januari","ITL","Lira Italia",0
2006,"Januari","JPY","Yen Jepang",208524
2006,"Januari","KRW","Won Korea",0
2006,"Januari","MYR","Ringgit Malaysia",8535
2006,"Januari","NLG","Gulden Belanda",0
2006,"Januari","NOK","Krone Norwegia",1904
2006,"Januari","NZD","Dolar Selandia Baru",74
2006,"Januari","PHP","Peso Filipina",672
2006,"Januari","QAR","Riyal Qatar",0
2006,"Januari","SAR","Riyal Saudi Arabia",0
2006,"Januari","SEK","Krone Swedia",3149
2006,"Januari","SGD","Dolar Singapura",168954
2006,"Januari","THB","Baht Thailand",8293
2006,"Januari","TWD","Dolar Taiwan",183
2006,"Januari","USD","Dolar Amerika Serikat",4987775
2006,"Januari","Lainnya","Valuta lainnya",5219
2006,"Januari","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",34000
2006,"Januari","Lainnya","Asuransi dan ongkos pengangkutan",500453
2006,"Februari","AED","Dirham Uni Emirat Arab",0
2006,"Februari","ATS","Schilling Austria",0
2006,"Februari","AUD","Dolar Australia",35350
2006,"Februari","BEF","Franc Belgia",0
2006,"Februari","BND","Dolar Brunei",0
2006,"Februari","CAD","Dolar Kanada",1597
2006,"Februari","CHF","Franc Swiss",15622
2006,"Februari","CNY","Yuan Renminbi China",0
2006,"Februari","DEM","Mark Jerman",0
2006,"Februari","DKK","Krone Denmark",725
2006,"Februari","EUR","Euro",172069
2006,"Februari","FRF","Franc Perancis",0
2006,"Februari","GBP","Poundsterling Inggris",10095
2006,"Februari","HKD","Dolar Hong Kong",12158
2006,"Februari","IDR","Rupiah Indonesia",40858
2006,"Februari","ITL","Lira Italia",0
2006,"Februari","JPY","Yen Jepang",344440
2006,"Februari","KRW","Won Korea",0
2006,"Februari","MYR","Ringgit Malaysia",7804
2006,"Februari","NLG","Gulden Belanda",0
2006,"Februari","NOK","Krone Norwegia",1316
2006,"Februari","NZD","Dolar Selandia Baru",76
2006,"Februari","PHP","Peso Filipina",125
2006,"Februari","QAR","Riyal Qatar",0
2006,"Februari","SAR","Riyal Saudi Arabia",9
2006,"Februari","SEK","Krone Swedia",3080
2006,"Februari","SGD","Dolar Singapura",209347
2006,"Februari","THB","Baht Thailand",9638
2006,"Februari","TWD","Dolar Taiwan",279
2006,"Februari","USD","Dolar Amerika Serikat",4880387
2006,"Februari","Lainnya","Valuta lainnya",5517
2006,"Februari","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",55000
2006,"Februari","Lainnya","Asuransi dan ongkos pengangkutan",512925
2006,"Maret","AED","Dirham Uni Emirat Arab",0
2006,"Maret","ATS","Schilling Austria",0
2006,"Maret","AUD","Dolar Australia",44322
2006,"Maret","BEF","Franc Belgia",0
2006,"Maret","BND","Dolar Brunei",19
2006,"Maret","CAD","Dolar Kanada",489
2006,"Maret","CHF","Franc Swiss",9697
2006,"Maret","CNY","Yuan Renminbi China",0
2006,"Maret","DEM","Mark Jerman",0
2006,"Maret","DKK","Krone Denmark",553
2006,"Maret","EUR","Euro",198682
2006,"Maret","FRF","Franc Perancis",0
2006,"Maret","GBP","Poundsterling Inggris",11455
2006,"Maret","HKD","Dolar Hong Kong",10835
2006,"Maret","IDR","Rupiah Indonesia",38845
2006,"Maret","ITL","Lira Italia",0
2006,"Maret","JPY","Yen Jepang",279051
2006,"Maret","KRW","Won Korea",0
2006,"Maret","MYR","Ringgit Malaysia",15820
2006,"Maret","NLG","Gulden Belanda",0
2006,"Maret","NOK","Krone Norwegia",1242
2006,"Maret","NZD","Dolar Selandia Baru",244
2006,"Maret","PHP","Peso Filipina",1249
2006,"Maret","QAR","Riyal Qatar",0
2006,"Maret","SAR","Riyal Saudi Arabia",0
2006,"Maret","SEK","Krone Swedia",2424
2006,"Maret","SGD","Dolar Singapura",386713
2006,"Maret","THB","Baht Thailand",7589
2006,"Maret","TWD","Dolar Taiwan",514
2006,"Maret","USD","Dolar Amerika Serikat",5556856
2006,"Maret","Lainnya","Valuta lainnya",6212
2006,"Maret","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",35000
2006,"Maret","Lainnya","Asuransi dan ongkos pengangkutan",513786
2006,"April","AED","Dirham Uni Emirat Arab",0
2006,"April","ATS","Schilling Austria",0
2006,"April","AUD","Dolar Australia",40805
2006,"April","BEF","Franc Belgia",0
2006,"April","BND","Dolar Brunei",0
2006,"April","CAD","Dolar Kanada",922
2006,"April","CHF","Franc Swiss",9091
2006,"April","CNY","Yuan Renminbi China",0
2006,"April","DEM","Mark Jerman",0
2006,"April","DKK","Krone Denmark",74
2006,"April","EUR","Euro",178339
2006,"April","FRF","Franc Perancis",0
2006,"April","GBP","Poundsterling Inggris",12098
2006,"April","HKD","Dolar Hong Kong",14563
2006,"April","IDR","Rupiah Indonesia",30996
2006,"April","ITL","Lira Italia",0
2006,"April","JPY","Yen Jepang",231456
2006,"April","KRW","Won Korea",0
2006,"April","MYR","Ringgit Malaysia",8701
2006,"April","NLG","Gulden Belanda",0
2006,"April","NOK","Krone Norwegia",637
2006,"April","NZD","Dolar Selandia Baru",131
2006,"April","PHP","Peso Filipina",96
2006,"April","QAR","Riyal Qatar",0
2006,"April","SAR","Riyal Saudi Arabia",5
2006,"April","SEK","Krone Swedia",3443
2006,"April","SGD","Dolar Singapura",264116
2006,"April","THB","Baht Thailand",6656
2006,"April","TWD","Dolar Taiwan",368
2006,"April","USD","Dolar Amerika Serikat",5419151
2006,"April","Lainnya","Valuta lainnya",6976
2006,"April","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",70000
2006,"April","Lainnya","Asuransi dan ongkos pengangkutan",520074
2006,"Mei","AED","Dirham Uni Emirat Arab",0
2006,"Mei","ATS","Schilling Austria",0
2006,"Mei","AUD","Dolar Australia",36474
2006,"Mei","BEF","Franc Belgia",0
2006,"Mei","BND","Dolar Brunei",52
2006,"Mei","CAD","Dolar Kanada",641
2006,"Mei","CHF","Franc Swiss",8408
2006,"Mei","CNY","Yuan Renminbi China",0
2006,"Mei","DEM","Mark Jerman",0
2006,"Mei","DKK","Krone Denmark",1101
2006,"Mei","EUR","Euro",197293
2006,"Mei","FRF","Franc Perancis",0
2006,"Mei","GBP","Poundsterling Inggris",8615
2006,"Mei","HKD","Dolar Hong Kong",14645
2006,"Mei","IDR","Rupiah Indonesia",28695
2006,"Mei","ITL","Lira Italia",0
2006,"Mei","JPY","Yen Jepang",220432
2006,"Mei","KRW","Won Korea",0
2006,"Mei","MYR","Ringgit Malaysia",12307
2006,"Mei","NLG","Gulden Belanda",0
2006,"Mei","NOK","Krone Norwegia",372
2006,"Mei","NZD","Dolar Selandia Baru",340
2006,"Mei","PHP","Peso Filipina",12
2006,"Mei","QAR","Riyal Qatar",0
2006,"Mei","SAR","Riyal Saudi Arabia",0
2006,"Mei","SEK","Krone Swedia",2106
2006,"Mei","SGD","Dolar Singapura",226858
2006,"Mei","THB","Baht Thailand",6274
